"BW","WL","WW","BL","Species","G"
0.272577432721849,30.8053362122563,12.27485594957,26.9908274131994,"tredecim","F"
0.288230421982489,27.9937220307535,12.139385092218,24.5175158427744,"tredecim","F"
0.307318084648789,30.632649219458,12.9593579414644,24.9382850621218,"tredecim","F"
0.240331697569953,25.9234435003518,10.8506699752008,23.3991655854388,"tredecim","F"
0.240711185938997,27.533702470949,12.5917421912136,26.4531457083269,"tredecim","F"
0.221656521978193,28.9823752607734,11.8062947315938,27.2133796682244,"tredecim","F"
0.27926297851585,28.1027178129078,11.2562627774732,24.8933803692413,"tredecim","F"
0.264146673425386,26.8066584223519,10.1617481338359,24.6646346716614,"tredecim","F"
0.241966446843729,27.0856431246115,10.9772910539046,26.7966891885367,"tredecim","F"
0.261144646849309,32.279658804647,12.4095834970358,26.2720164720021,"tredecim","F"
0.230799924807191,33.87789911209,12.2095300987698,27.5934870286118,"tredecim","F"
0.217582551287534,26.5336386715587,11.1420580078327,25.0077846286754,"tredecim","F"
0.252313606342701,32.8648594431995,12.1520339085773,27.8356749677213,"tredecim","M"
0.246109184260685,29.185416918762,12.2968626314695,25.8749952060201,"tredecim","M"
0.108019723013976,25.7017729140119,11.1146036622999,25.7213024153554,"tredecim","M"
0.257658578790139,31.5314506237597,12.2958585455073,30.2511732987544,"tredecim","M"
0.206535641709127,28.0894680352323,10.1672689991073,25.4503443173926,"tredecim","M"
0.19327994408633,23.6530413599929,10.3198026965124,24.8401224071476,"tredecim","M"
0.268870585638095,33.2784890910617,12.9579448344392,30.5851580012241,"tredecim","M"
0.23910740075459,30.8272876044556,10.3921516882129,25.0329655200738,"tredecim","M"
0.0474215859177775,26.921130061589,9.33747772033619,23.6530888618839,"tredecim","M"
0.299272882815346,32.3898028544506,11.6223846022286,31.4657824531281,"tredecim","M"
0.214058246586922,31.163038206121,10.0024353004566,25.0969058603246,"tredecim","M"
0.0596074235205861,26.6527145253916,9.59790954854844,27.2473700012919,"tredecim","M"
0.275,30.8,12.1,30.8,"tredecula","F"
0.16,26,11,22,"tredecula","M"
0.26,31,11,27,"tredecim","F"
0.16,26,9,21,"tredecula","M"
0.286,33,13.2,28.6,"tredecula","F"
0.275,29.7,12.1,27.5,"tredecula","F"
0.15,28,11,26,"tredecula","M"
0.15,29,10,25,"tredecula","M"
0.1,24,9,22,"tredecula","M"
0.242,29.7,12.1,27.5,"tredecula","F"
0.29,32,11,26,"tredecim","F"
0.16,24,9,18,"tredecassini","M"
0.17,27,10,24,"tredecim","F"
0.28,25,10,27,"tredecassini","F"
0.11,31.9,11,24.2,"tredecula","F"
0.09,26,10,22,"tredecula","M"
0.12,27,10,25,"tredecassini","M"
0.11,28,11,24,"tredecassini","F"
0.12,27,10,24,"tredecassini","M"
0.18,30,11,25,"tredecassini","F"
0.1,25,9,21,"tredecula","M"
0.08,26,10,22,"tredecula","M"
0.17,29,11,22,"tredecassini","F"
0.11,28,10,23,"tredecula","M"
0.39,35,12,32,"tredecim","M"
0.12,26,10,23,"tredecassini","M"
0.13,28,10,23,"tredecula","M"
0.09,27,10,23,"tredecassini","M"
0.08,30,10,23,"tredecassini","F"
0.11,28,10,24,"tredecula","M"
0.15,28,11,22,"tredecula","M"
0.26,30,12,26,"tredecula","M"
0.17,29,11,24,"tredecassini","F"
0.24,30,11,23,"tredecassini","F"
0.22,29,10,25,"tredecassini","F"
0.18,28,12,25,"tredecassini","F"
0.17,28,10,23,"tredecula","M"
0.18,30,11,23,"tredecula","M"
0.14,25,11,25,"tredecassini","F"
0.21,29,13,24,"tredecula","M"
0.16,26,11,26,"tredecassini","F"
0.24,32,12,24,"tredecassini","F"
0.12,28,13,29,"tredecim","M"
0.1,26,10,25,"tredecula","M"
0.11,30,11,28,"tredecassini","M"
0.18,32,13,25,"tredecassini","F"
0.14,25,10,23,"tredecassini","M"
0.12,28,11,23,"tredecassini","M"
0.18,28,12,26,"tredecassini","M"
0.15,30,12,24,"tredecassini","F"
0.19,33,12,27,"tredecassini","F"
0.15,29,13,24,"tredecassini","M"
0.23,30,12,25,"tredecassini","F"
0.19,29,11,27,"tredecassini","F"
0.25,32,11,26,"tredecassini","F"
0.14,28,12,25,"tredecassini","M"
0.28,30,13,26,"tredecassini","F"
0.17,30,12,25,"tredecassini","F"
0.13,29,11,26,"tredecassini","F"
0.275,33,13.2,27.5,"tredecula","F"
0.13,28,11,24,"tredecula","M"
0.154,31.9,12.1,25.3,"tredecula","F"
0.165,30.8,11,24.2,"tredecula","F"
0.15,30,11,24,"tredecula","M"
0.14,27,10,24,"tredecula","M"
0.209,33,12.1,27.5,"tredecula","F"
0.14,23,11,22,"tredecula","M"
0.198,31.9,12.1,26.4,"tredecula","F"
0.13,26,10,25,"tredecula","M"
0.17,27,11,23,"tredecula","M"
0.231,31.9,12.1,27.5,"tredecula","F"
0.22,33,12.1,26.4,"tredecula","F"
0.297,33,12.1,24.2,"tredecula","F"
0.16,26,11,24,"tredecula","M"
0.1,26,10,21,"tredecula","M"
0.31,31,12,26,"tredecassini","F"
0.286,33,12.1,27.5,"tredecula","F"
0.26,29,11,22,"tredecassini","F"
0.21,30,13,24,"tredecassini","F"
0.18,23,11,24,"tredecula","M"
0.12,22,11,24,"tredecim","M"
0.17,29,12,23,"tredecassini","F"
0.21,31,10,24,"tredecassini","F"
0.22,30,11,23,"tredecassini","F"
0.21,30,11,25,"tredecassini","F"
0.23,31,12,25,"tredecassini","F"
0.24,30,10,25,"tredecassini","F"
0.3,28,10,22,"tredecassini","F"
0.18,30,11,24,"tredecassini","F"
0.264,33,13.2,24.2,"tredecula","F"
0.18,29,11,24,"tredecassini","M"
0.12,25,11,22,"tredecula","M"
0.23,27,11,23,"tredecassini","F"
0.2,30,14,23,"tredecassini","F"
0.231,33,14.3,25.3,"tredecula","F"
0.13,27,12,22,"tredecassini","M"
0.16,26,11,20,"tredecula","M"
0.16,28,11,24,"tredecassini","M"
0.29,33,15,26,"tredecassini","F"
0.2,29,12,22,"tredecassini","F"
0.21,27,11,20,"tredecassini","F"
0.13,26,12,23,"tredecassini","F"
0.16,30,12,23,"tredecassini","F"
0.17,29,12,22,"tredecassini","F"
