"BW","WL","WW","BL","Gender","Species"
0.25,27.9326337315142,10.7316961616743,27.8280552655924,"F","tredecula"
0.16,26.4439170008991,11.1141618213151,21.5641661728732,"M","tredecula"
0.26,30.8533096925821,10.6949600202497,27.2858514757827,"F","tredecim"
0.16,25.6639003749005,8.64693577890284,20.9897435491439,"M","tredecula"
0.26,29.8915106181521,11.8260970567353,25.6307916443329,"F","tredecula"
0.25,27.3206637140829,11.1498170879204,24.8534177355468,"F","tredecula"
0.15,28.2617546166293,11.3804233821575,25.6035853589419,"M","tredecula"
0.15,28.8901372859254,9.90144178969786,24.5826262407936,"M","tredecula"
0.1,23.9739295064937,9.38515304354951,21.9286214655731,"M","tredecula"
0.22,27.3614794879686,10.826623131521,24.9093881237786,"F","tredecula"
0.29,31.7678912645206,11.3362711486407,25.8230268231127,"F","tredecim"
0.16,23.7496801405214,8.72850340558216,17.8192714645993,"M","tredecassini"
0.17,27.0164920343086,10.0183392618783,24.4721850040369,"F","tredecim"
0.28,24.7106223392766,9.56177633837797,26.6007434183266,"F","tredecassini"
0.1,28.5923887523822,9.61767071066424,22.0064105973579,"F","tredecula"
0.09,26.4253750373609,10.4537454857491,21.7794842517469,"M","tredecula"
0.12,27.1201142964419,9.563579992624,24.819238843862,"M","tredecassini"
0.11,27.6740804563742,10.6053135292605,24.3147251007613,"F","tredecassini"
0.12,27.375061258208,10.423764168052,24.0156342531554,"M","tredecassini"
0.18,30.2423498898279,11.276589023415,24.5190768267494,"F","tredecassini"
0.1,24.5320716542192,9.35666328156367,21.4151900182478,"M","tredecula"
0.08,25.8027476991992,10.1106173321605,21.8763859404717,"M","tredecula"
0.17,28.6340621199924,11.390163422795,21.7954980444629,"F","tredecassini"
0.11,27.9101068910677,9.96846975572407,23.1719483588822,"M","tredecula"
0.39,34.773931826232,12.1709570321254,31.5163957271725,"M","tredecim"
0.12,25.6532091868576,10.0799838036764,23.3213152636308,"M","tredecassini"
0.13,27.7523181622382,10.0431366767734,23.2261935658753,"M","tredecula"
0.09,26.5455173181836,10.0595346880145,23.0472466673236,"M","tredecassini"
0.08,30.4393232311122,10.3424956027884,23.1947954492643,"F","tredecassini"
0.11,27.5755496451166,10.2357263108715,23.9923846959136,"M","tredecula"
0.15,28.2007672251202,10.6948948991485,21.7454506985378,"M","tredecula"
0.26,30.4415364852175,11.5200996981002,26.0469434098341,"M","tredecula"
0.17,28.6579275969416,11.1157097585965,24.1937300188001,"F","tredecassini"
0.24,29.9423340479843,10.5164967894088,22.5458892860916,"F","tredecassini"
0.22,29.2154745676089,10.212240207009,25.3512696824037,"F","tredecassini"
0.18,28.4697377532721,12.4039050196297,24.5259178755805,"F","tredecassini"
0.17,28.0711879266892,9.63103792862967,23.0844851308502,"M","tredecula"
0.18,30.3608180056326,10.5422126825433,22.8978765774518,"M","tredecula"
0.14,25.3750937734731,11.1139061201829,24.7285048530903,"F","tredecassini"
0.21,29.2923551611602,12.5311677267309,24.2859956896864,"M","tredecula"
0.16,25.8785897651687,10.7934980897699,25.9955757709686,"F","tredecassini"
0.24,31.8156153599266,11.8588980657514,23.9392852289602,"F","tredecassini"
0.12,27.670731856022,12.735415911302,28.67766436073,"M","tredecim"
0.1,26.2891550813802,9.96537582972087,24.6301994367968,"M","tredecula"
0.11,29.8773829480633,10.8288837948348,27.9951518264133,"M","tredecassini"
0.18,32.3071351018734,12.7524033968803,25.1767977355048,"F","tredecassini"
0.14,24.9206820977852,9.71323800133541,22.8113744673319,"M","tredecassini"
0.12,28.1811701415572,10.6128053178545,22.7530987479258,"M","tredecassini"
0.18,27.9235213054344,12.1534840590321,25.6883802260272,"M","tredecassini"
0.15,29.7701908950694,12.4541526332032,23.5281013904605,"F","tredecassini"
0.19,33.4770056079142,11.7878362785559,27.3176201519091,"F","tredecassini"
0.15,29.4885574465152,12.6969881567638,24.1164375927765,"M","tredecassini"
0.23,29.8772473996505,12.4907654721756,24.9843617053702,"F","tredecassini"
0.19,28.9275173093192,10.8999316974077,27.4476551287808,"F","tredecassini"
0.25,31.97465234017,11.1291320780292,25.8215177615639,"F","tredecassini"
0.14,27.6814259320963,12.1902238435578,24.6717548831366,"M","tredecassini"
0.28,30.3127820000518,13.1465709423646,25.8667250508443,"F","tredecassini"
0.17,30.1072615112644,11.6436814693734,24.9323612067383,"F","tredecassini"
0.13,28.5554530841764,10.8076901272871,26.2547560208477,"F","tredecassini"
0.25,30.2419969094917,11.6224192548543,25.436995358672,"F","tredecula"
0.13,27.5180272688158,11.2781963911839,24.318226654781,"M","tredecula"
0.14,28.6451185639016,10.7730412210803,23.1299067283981,"F","tredecula"
0.15,27.6596538082231,9.90939495479688,21.7205141554587,"F","tredecula"
0.15,30.268100436544,11.280364961829,23.5566972023807,"M","tredecula"
0.14,26.7645397610031,9.79347101529129,23.6469677635469,"M","tredecula"
0.19,29.9720634622499,10.5492698859889,25.1838267436251,"F","tredecula"
0.14,22.6253861847799,10.5133133835625,21.8832638398744,"M","tredecula"
0.18,28.7579164300114,11.4085541027598,23.6165308705531,"F","tredecula"
0.13,26.1729238159023,10.2426452003419,25.2226211249363,"M","tredecula"
0.17,26.6552756314632,11.2265884610824,23.4177774395794,"M","tredecula"
0.21,29.2157983544748,11.3088292961475,25.3014371243771,"F","tredecula"
0.2,30.4044442616869,10.7593681404833,23.5876508611254,"F","tredecula"
